idperson,status,createduser,createdtime,updateduser,timestamp,rowguid,firstname,lastname,name,phone,mobilephone,email,inactive,company,position,expireddate,anonymizeddate,emailhardbounce,_sys_owner,_sys_group,_sys_permissions
1001,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{4DF5AB67-58BB-467A-9CAB-D401C07E1CA1},Andreas,Mortensen,Andreas Mortensen,+4586234533,+4532449812,andreas.mortensen@limedemo.com,0,1008,Försäljningsansvarig,,,0,1,2,511
1002,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{28848D2C-2A77-463E-9E7A-7EB0A36ADE78},Annika,Olsson,Annika Olsson,0402224000,0708961423,annika.olsson@limedemo.com,0,1010,Kundtjänst,,,0,1,2,511
1003,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{6F415300-C0D4-4350-A6B0-D27195BBCC4F},Art,Vandaley,Art Vandaley,010010101,07070034565,art.vandaley@limedemo.com,0,1025,VD,,,0,1,2,511
1004,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{E93444E8-31EF-4F28-AB15-A8FEBF18D719},Bob,Bengtsson,Bob Bengtsson,0402224001,0736456612,bob.bengtsson@limedemo.com,0,1010,VD,,,0,1,2,511
1005,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{080A5FD6-B6CC-47CE-970B-18B2C053A55C},Camilla,Bangsgaard,Camilla Bangsgaard,,+46733501222,camilla.bangsgaard@limedemo.com,0,1026,IT-chef,,,0,1,2,511
1006,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{5E7C9D7E-8CF0-4B2B-B409-AF1AF7459844},Chewbacca,Persson,Chewbacca Persson,,,chewbacca.persson@limedemo.com,0,1018,Tekniker,,,0,1,2,511
1007,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{CD49E6A1-8052-4E69-A5F5-55C6ACD37D2F},Christian,Börjeson,Christian Börjeson,0822254389,0707323181,christian.börjeson@limedemo.com,0,1016,Försäljningsansvarig,,,0,1,2,511
1008,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{351BF0F7-F2EE-4B76-8770-693BB7FC0933},Darth,Vader,Darth Vader,040725895,,darth.vader@limedemo.com,0,1018,Kundtjänst,,,0,1,2,511
1009,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{45FD5DF0-25D2-48F1-90D1-5D5C11E26680},David,Waterwood,David Waterwood,04058501,0734224656,david.waterwood@limedemo.com,0,1007,VD,,,0,1,2,511
1010,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{579839EA-CBC9-4AD6-AC9C-AD6A21F90340},Elana,Doverklint,Elana Doverklint,0101010101,070893354342,elana.doverklint@limedemo.com,0,1025,Försäljningsansvarig,,,0,1,2,511
